iso_date	sequence	name	instrument	display_name
2021-11-13T14:00:00-05:00	2	Janice Lu	piano	"Janice Lu, piano"
2021-12-04T14:00:00-05:00	1	Gregory Lewis	violin	"Gregory Lewis, violin"
2021-12-04T14:00:00-05:00	2	Stephen Perkyns	cello	"Stephen Perkyns, cello"
2021-12-04T14:00:00-05:00	3	Carter Johnson	piano	"Carter Johnson, piano"
2021-12-11T14:00:00-05:00	1	Michael Katz	cello	"Michael Katz, cello"
2021-12-11T14:00:00-05:00	2	Spencer Myer	piano	"Spencer Myer, piano"
2022-01-08T14:00:00-05:00	1	Geneva Lewis	violin	"Geneva Lewis, violin"
2022-01-08T14:00:00-05:00	2	Gabriel Martins	cello	"Gabriel Martins, cello"
2022-01-22T14:00:00-05:00	1	Jonathan Mak	piano	"Jonathan Mak, piano"
2022-02-12T14:00:00-05:00	1	Evren Ozel	piano	"Evren Ozel, piano"
2022-03-05T14:00:00-05:00	1	Paul Aguilar	violin	"Paul Aguilar, violin"
2022-03-05T14:00:00-05:00	2	Rachel Aguilar	violin	"Rachel Aguilar, violin"
2022-03-05T14:00:00-05:00	3	Eva Kennedy	viola	"Eva Kennedy, viola"
2022-03-05T14:00:00-05:00	4	Hannah Moses	cello	"Hannah Moses, cello"
2022-03-19T15:00:00-04:00	1	Mayumi Kanagawa	violin	"Mayumi Kanagawa, violin"
2022-03-19T15:00:00-04:00	2	Sophiko Simsive	piano	"Sophiko Simsive, piano"
2022-04-04T15:00:00-04:00	1	An Tran	guitar	"An Tran, guitar"
2022-04-09T15:00:00-04:00	1	Andrew Barnwell	piano	"Andrew Barnwell, piano"
2022-04-09T15:00:00-04:00	2	Grant Houston	violin	"Grant Houston, violin"
2022-04-09T15:00:00-04:00	3	Yi-Mei Templeman	cello	"Yi-Mei Templeman, cello"
2022-05-14T15:00:00-04:00	1	Samuel DeCaprio	cello	"Samuel DeCaprio, cello"
2022-05-14T15:00:00-04:00	2	Chaeyoung Park	piano	"Chaeyoung Park, piano"
2022-05-28T15:00:00-04:00	1	Lee Dionne	piano	"Lee Dionne, piano"
2022-05-28T15:00:00-04:00	2	Brigid Coleridge	violin	"Brigid Coleridge, violin"
2022-05-28T15:00:00-04:00	3	Julia Yang	cello	"Julia Yang, cello"
2022-06-04T15:00:00-04:00	1	Leslie Amper	piano	"Leslie Amper, piano"
2022-06-25T19:30:00-04:00	1	Stephen Kim	violin	"Stephen Kim, violin"
2022-06-26T15:00:00-04:00	1	Avery Gagliano	piano	"Avery Gagliano, piano"
2022-08-13T16:00:00-04:00	1	Stephanie Tang	piano	"Stephanie Tang, piano"
2022-08-20T16:00:00-04:00	1	Stephanie Zyzak	violin	"Stephanie Zyzak, violin"
2022-08-20T16:00:00-04:00	2	Filippo Gorini	piano	"Filippo Gorini, piano"
2022-08-27T16:00:00-04:00	1	Emma Meinrenken	violin	"Emma Meinrenken, violin"
2022-08-27T16:00:00-04:00	2	Thomas Weaver	piano	"Thomas Weaver, piano"
2022-09-10T15:00:00-04:00	1	Angela Bae	violin	"Angela Bae, violin"
2022-09-10T15:00:00-04:00	2	Justin DeFilippis	violin	"Justin DeFilippis, violin"
2022-09-10T15:00:00-04:00	3	Benjamin Zannoni	viola	"Benjamin Zannoni, viola"
2022-09-10T15:00:00-04:00	4	Russell Houston	cello	"Russell Houston, cello"
2022-10-08T15:00:00-04:00	1	Wynona Wang	piano	"Wynona Wang, piano"
2022-10-22T15:00:00-04:00	1	Grace Park	violin	"Grace Park, violin"
2022-10-22T15:00:00-04:00	2	Mika Sasaki	piano	"Mika Sasaki, piano"
2022-11-05T14:00:00-04:00	1	Emma Robertson	soprano	"Emma Robertson, soprano"
2022-11-05T14:00:00-04:00	2	James Lorusso	piano	"James Lorusso, piano"
2022-11-19T14:00:00-05:00	1	Sophia Anna Szokolay	violin	"Sophia Anna Szokolay, violin"
2022-11-19T14:00:00-05:00	2	Yandi Chen	piano	"Yandi Chen, piano"
2022-12-03T14:00:00-05:00	1	Evren Ozel	piano	"Evren Ozel, piano"
2022-12-17T14:00:00-05:00	1	Njioma Grevious	violin	"Njioma Grevious, violin"
2022-12-17T14:00:00-05:00	2	Rebecca Benjamin	violin	"Rebecca Benjamin, violin"
2022-12-17T14:00:00-05:00	3	James Kang	viola	"James Kang, viola"
2022-12-17T14:00:00-05:00	4	Brian Gadbow	cello	"Brian Gadbow, cello"
