key	composer	category	title	catalog	year
Beethoven1822a	Ludwig van Beethoven	Solo Piano	Piano Sonata No. 32 in C minor	Op. 111	1822
Beethoven1823a	Ludwig van Beethoven	Solo Piano	Variations on a waltz by Anton Diabelli	Op. 120	1823
Beethoven1825a	Ludwig van Beethoven	String Quartet	String Quartet No. 15 in A minor	Op. 132	1825
Beethoven1826a	Ludwig van Beethoven	String Quartet	String Quartet No. 14 in C-sharp minor	Op. 131	1826
Berg1910a	Alban Berg	Solo Piano	Piano Sonata in B minor	Op. 1	1910
Berlioz1841a	Hector Berlioz	Viola and Piano	“Le Spectre de la Rose” from Les Nuits d’été (arr. P. Colombat)	Op. 7	1841
Bonds1	Margaret Bonds	Voice and Piano	“He’s Got the Whole World in His Hand”		
Boulanger1911a	Lili Boulanger	Violin and Piano	Nocturne		1911
Boulanger1911b	Lili Boulanger	Cello and Piano	Deux Morceaux	Op. 17	1911
Boulanger1914a	Lili Boulanger	Piano Trio	“D’un vieux jardin” from Three Pieces (arr. Merz Trio)		1914
Boulanger1914b	Nadia Boulanger	Cello and Piano	Trois pièces		1914
Brahms1853a	Johannes Brahms	Solo Piano	Piano Sonata No. 3 in F minor	Op. 5	1853
Brahms1853b	Johannes Brahms	Violin and Piano	Scherzo in C minor from the F-A-E Sonata		1853
Brahms1861a	Johannes Brahms	Solo Piano	Variations and Fugue on a Theme by Handel	Op. 24	1861
Brahms1863a	Johannes Brahms	Solo Piano	Variations on a Theme of Paganini	Op. 35	1863
Brahms1865a	Johannes Brahms	Cello and Piano	Cello Sonata No. 1 in E minor	Op. 38	1865
Brahms1873a	Johannes Brahms	String Quartet	String Quartet in A minor	Op. 51:2	1873
Brahms1874a	Johannes Brahms	Voice and Piano	Heimweh (Longing for home)	Op. 63:7–9	1874
Brahms1879a	Johannes Brahms	Violin and Piano	Violin Sonata No. 1 in G major	Op. 78	1879
Brahms1882a	Johannes Brahms	Piano Trio	Piano Trio No. 2 in C major	Op. 87	1882
Brahms1886a	Johannes Brahms	Violin and Piano	Violin Sonata No. 2 in A major	Op. 100	1886
Brahms1886b	Johannes Brahms	Cello and Piano	Cello Sonata No. 2 in F major	Op. 99	1886
Brahms1888a	Johannes Brahms	Violin and Piano	Violin Sonata No. 3 in D minor	Op. 108	1888
Brahms1892a	Johannes Brahms	Solo Piano	Fantasies	Op. 116	1892
Brahms1893a	Johannes Brahms	Solo Piano	Six Pieces for Piano	Op. 118	1893
Brahms1894a	Johannes Brahms	Clarinet and Piano	Clarinet Sonata No. 1 in F minor	Op. 120:1	1894
Brahms1894b	Johannes Brahms	Clarinet and Piano	Clarinet Sonata No. 2 in E-flat major	Op. 120:2	1894
Brahms1895a	Johannes Brahms	Viola and Piano	Viola Sonata No. 1 in F minor	Op. 120:1	1895
Bridge1910a	Frank Bridge	Cello and Piano	4 Pieces for Cello and Piano		1910
Britten1935a	Benjamin Britten	Violin and Piano	Suite for Violin and Piano	Op. 6	1935
Brown2013a	Michael Brown	Violin and Piano	Sonata for Violin and Piano		2013
Bruch1910a	Max Bruch	Clarinet Trio	Acht Stücke (selections)	Op. 83	1910
Carter1994a	Elliott Carter	Solo Cello	Figment		1994
Chausson1881a	Ernest Chausson	Piano Trio	Piano Trio in G minor	Op. 3	1881
Chen2003a	Shih-Hui Chen	Cello and Piano	Shui		2003
Chopin1827a	Frédéric Chopin	Solo Piano	Nocturne	Op. 72:1	1827
Chopin1831a	Frédéric Chopin	Solo Piano	Waltz in A minor	Op. 34:2	1831
Chopin1834a	Frédéric Chopin	Solo Piano	Andante spianato & Grande polonaise brillante	Op. 22	1834
Chopin1835a	Frédéric Chopin	Solo Piano	Ballade No. 1 in G minor	Op. 23	1835
Chopin1836a	Frédéric Chopin	Solo Piano	Nocturne in C-sharp minor	Op. 27:1	1836
Chopin1836b	Frédéric Chopin	Solo Piano	Nocturne in D-flat major	Op. 27:2	1836
Chopin1837a	Frédéric Chopin	Solo Piano	Scherzo in B-flat minor	Op. 32	1837
Chopin1839a	Frédéric Chopin	Solo Piano	Scherzo in C-sharp minor	Op. 39	1839
Chopin1839b	Frédéric Chopin	Solo Piano	Preludes (1-12)	Op. 28	1839
Chopin1839c	Frédéric Chopin	Solo Piano	Preludes	Op. 28	1839
Chopin1839d	Frédéric Chopin	Solo Piano	Ballade No. 2 in F major	Op. 38	1839
Chopin1841a	Frédéric Chopin	Solo Piano	Nocturne	Op. 48:1	1841
Chopin1841b	Frédéric Chopin	Solo Piano	Fantaisie in F minor	Op. 49	1841
Chopin1842a	Frédéric Chopin	Solo Piano	Ballade No. 4 in F minor	Op. 52	1842
Chopin1844a	Frédéric Chopin	Solo Piano	Piano Sonata No. 3	Op. 58	1844
Chopin1844b	Frédéric Chopin	Solo Piano	Mazurkas	Op. 56	1844
Chopin1846a	Frédéric Chopin	Solo Piano	Barcarolle in F-sharp major	Op. 60	1846
Chopin1846b	Frédéric Chopin	Solo Piano	Polonaise-Fantaisie in A-flat major	Op. 61	1846
Chopin1848a	Frédéric Chopin	Cello and Piano	Cello Sonata in G minor	Op. 65	1848
Clarke1918a	Rebecca Clarke	Viola and Piano	“Untitled” for Viola and Piano		1918
Copeland1921a	Aaron Copeland	Solo Piano	Three Moods		1921
Copeland1954a	Aaron Copeland	Voice and Piano	“Laurie’s Song” (aria from <i>The Tender Land</i>)		1954
Copeland1971a	Aaron Copeland	Flute and Piano	Duo for Flute and Piano		1971
Corigliano1999a	John Corigliano	Solo Violin	The Red Violin Caprices		1999
Dallapiccola1945a	Luigi Dallapiccola	Solo Cello	Ciaccona (Intermezzo e Adagio)		1945
Debussy1889a	Claude Debussy	Piano Four-Hands	Petite Suite		1889
Debussy1892a	Claude Debussy	Solo Piano	Nocturne		1892
Debussy1893a	Claude Debussy	String Quartet	String Quartet in G minor	L. 91	1893
Debussy1903a	Claude Debussy	Solo Piano	Estampes		1903
Debussy1904a	Claude Debussy	Solo Piano	Masques	L. 105	1904
Debussy1904b	Claude Debussy	Solo Piano	L’isle joyeuse	L. 106	1904
Debussy1907a	Claude Debussy	Solo Piano	Images: Book 1		1905
Debussy1907b	Claude Debussy	Solo Piano	Images: Book 2		1907
Debussy1914a	Claude Debussy	Piano Four-Hands	Six épigraphes antiques		1914
Debussy1915a	Claude Debussy	Cello and Piano	Sonata for Cello and Piano	L. 135	1915
Debussy1915b	Claude Debussy	Solo Piano	Étude XI. “Pour les arpèges composés”	L. 136	1915
Debussy1917a	Claude Debussy	Violin and Piano	Violin Sonata		1917
Dorman2011a	Avner Dorman	Violin and Piano	Violin Sonata No. 3		2011
Dutilleux1947a	Henri Dutilleux	Oboe and Piano	Sonata for Oboe and Piano		1947
Dutilleux1976a	Henri Dutilleux	Solo Cello	Trois Strophes sur le nom de Sacher		1976
Dvořák1895a	Antonín Dvořák	String Quartet	String Quartet No. 13 in G major	Op. 106	1895
Falla1914a	Manuel de Falla	Cello and Piano	Suite Populaire Espagnole		1914
Fauré1876a	Gabriel Fauré	Violin and Piano	Violin Sonata No. 1 in A major	Op. 13	1876
Fauré1894a	Gabriel Fauré	Solo Piano	Nocturne no. 6 in D flat major	Op. 63	1894
Fauré1916a	Gabriel Fauré	Violin and Piano	Violin Sonata No. 2 in E minor	Op. 108	1916
Franck1884a	César Franck	Solo Piano	"“Prélude, Chorale, et Fugue”"	FWV 21	1884
Franck1886a	César Franck	Violin and Piano	Violin Sonata in A major		1886
Franck1886b	César Franck	Violin and Piano	Mélancolie		1886
Frazin2022a	Howard Frazin	Solo Piano	Overture to the Moon and Stars		2022
George2014a	Whitney George	Solo Piano	Selections from The Extinction Series		2014
Gershwin1924a	George Gershwin	Piano Four-Hands	Rhapsody in Blue		1924
Gershwin1926a	George Gershwin	Clarinet and Piano	Three Preludes (arr. C. Neidich)		1926
Gershwin1926b	George Gershwin	Violin and Piano	Three Preludes (arr. J. Heifetz)		1926
Ginasetera1952a	Alberto Ginastera	Solo Piano	Piano Sonata No. 1	Op. 22	1952
Glière1909a	Reinhold Glière	Violin and Viola	Selections from Huit Morceaux	Op. 39	1909
Granados1911a	Enrique Granados	Solo Piano	“Quejas o la maja y el ruisenor” from Goyescas		1911
Grieg1886a	Edvard Grieg	Violin and Piano	Violin Sonata No. 3	Op. 45	1886
Halvorsen1897a	Handel-Halvorsen	Violin and Cello	Sarabande con variazioni (arr. Martins)		1897
Haydn1768a	Franz Joseph Haydn	Solo Piano	Keyboard Sonata in A-flat major	Hob. XVI:46	1768
Haydn1775a	Franz Joseph Haydn	Solo Piano	Keyboard Sonata in B minor	Hob. XVI:32	1775
Haydn1790a	Franz Joseph Haydn	Solo Piano	Keyboard Sonata in E-flat major	Hob. XVI:49	1790
Haydn1794a	Franz Joseph Haydn	Solo Piano	Keyboard Sonata in E-flat major	Hob. XVI:52	1794
Hersant2006a	Philippe Hersant	Solo Clarinet	In the Dark		2006
Ives1895a	Charles Ives	Voice and Piano	“Songs My Mother Taught Me”		1895
Ives1915a	Charles Ives	Solo Piano	Piano Sonata No. 2: III. “The Alcotts”		1915
Janáček1906a	Leoš Janáček	Solo Piano	Piano Sonata 1.X.1905 “From the Street”		1906
Janáček1908a	Leoš Janáček	Solo Piano	On an Overgrown Path: Book I (selections)		1908
Janáček1912a	Leoš Janáček	Solo Piano	In the Mists		1912
Janáček1914a	Leoš Janáček	Violin and Piano	Violin Sonata		1914
Janáček1923a	Leoš Janáček	Cello and Piano	Pohádka		1923
Janáček1928a	Leoš Janáček	String Quartet	"String Quartet No. 2, “Intimate Letters”"		1928
Kodály1914a	Zoltán Kodály	Violin and Cello	Duo for violin and cello	Op. 7	1914
Korngold1916a	Erich Korngold	Violin and Piano	Suite from “Much Ado About Nothing”	Op. 11	1916
Kreisler1905a	Fritz Kreisler	Violin and Piano	Tambourin Chinois	Op. 3	1905
Kreisler1911a	Fritz Kreisler	Solo Violin	Recitativo and Scherzo-Caprice	Op. 6	1911
Kreisler1917a	Fritz Kreisler	Solo Violin	La Gitana		1917
Kurtág1979a	György Kurtág	Violin and Piano	Tre pezzi per Solo Violino e Solo Pianoforte	Op. 14e	1979
Lash2014a	Hannah Lash	Solo Piano	Liebesbrief an Schumann		2014
Lekeu1892a	Guillaume Lekeu	Violin and Piano	Violin Sonata in G major	V. 64	1892
León1987a	Tania León	Solo Piano	Rituál		1987
Ligeti1985a	György Ligeti	Solo Piano	Études Pour Piano (selections)		1985
Liszt1849a	Franz Liszt	Solo Piano	Sonetto No. 123 del Petrarca	S. 161:6	1849
Liszt1849b	Franz Liszt	Solo Piano	Fantasia quasi Sonata “Après une lecture du Dante”	S. 161:7	1849
Liszt1859a	Franz Liszt	Solo Piano	Paraphrase de concert sur Rigoletto	S. 434	1859
Liszt1867a	Franz Liszt	Solo Piano	Isoldes Liebestod (Schlußszene aus Tristan und Isolde)		1867
Liszt1877a	Franz Liszt	Solo Piano	Les Jeux d’eaux à la Villa d’Este		1877
Liszt1881a	Franz Liszt	Viola and Piano	Romance Oublieé for Viola Alta and Piano	S. 527	1881
Loeb2019a	David Loeb	Solo Piano	The Invisible River		2019
Martinů1947a	Bohuslav Martinů	Violin and Viola	Three Madrigals	H. 313	1947
Martinů1952a	Bohuslav Martinů	Cello and Piano	Sonata No. 3 for Cello and Piano	H. 340	1952
Mendelssohn1827a	Felix Mendelssohn	String Quartet	String Quartet No. 2 in A minor	Op. 13	1827
