key	composer	category	title	catalog	year
Schumann1839b	Robert Schumann	Solo Piano	Humoreske	Op. 20	1839
Schumann1839c	Robert Schumann	Solo Piano	Arabeske in C major	Op. 18	1839
Schumann1848a	Robert Schumann	Piano Four-Hands	Six Impromptus “Bilder aus Osten”	Op. 66	1848
Schumann1849a	Robert Schumann	Cello and Piano	Fantasiestücke	Op. 73	1849
Schumann1850a	Robert Schumann	Solo Piano	Bunte Blätter	Op. 99	1850
Schumann1851a	Robert Schumann	Violin and Piano	Violin Sonata No. 1 in A minor	Op. 105	1851
Schumann1851b	Robert Schumann	Piano Trio	Piano Trio No. 3 in G minor	Op. 110	1851
Schumann1851c	Robert Schumann	Violin and Piano	Violin Sonata No. 2 in D minor	Op. 121	1851
Schumann1853a	Clara Schumann	Oboe and Piano	Three Romances	Op. 22	1853
Schumann1853b	Clara Schumann	Violin and Piano	Three Romances	Op. 22	1853
Scriabin1894a	Alexander Scriabin	Solo Piano	Prelude and Nocturne for the Left Hand	Op. 9	1894
Scriabin1896a	Alexander Scriabin	Solo Piano	24 Preludes	Op. 11	1896
Scriabin1896b	Alexander Scriabin	Solo Piano	24 Preludes (selections)	Op. 11:1–4	1896
Scriabin1898a	Alexander Scriabin	Solo Piano	Sonata-Fantasy in G-sharp minor	Op. 19	1898
Scriabin1903a	Alexander Scriabin	Solo Piano	Poèmes	Op. 32	1903
Scriabin1903b	Alexander Scriabin	Solo Piano	Valse	Op. 38	1903
Scriabin1907a	Alexander Scriabin	Solo Piano	Piano Sonata No. 5	Op. 53	1907
Shchedrin1961a	Rodion Shchedrin	Solo Piano	À la Albéniz		1961
Shostakovich1923a	Dmitri Shostakovich	Piano Trio	Piano Trio No. 1 in C minor	Op. 8	1923
Shostakovich1934a	Dmitri Shostakovich	Cello and Piano	Sonata for Cello and Piano in D minor	Op. 40	1934
Shostakovich1943a	Dmitri Shostakovich	Solo Piano	Piano Sonata No. 2 in B minor	Op. 61	1943
Sibelius1892a	Jean Sibelius	Violin and Viola	Duo in C major for Violin and Viol		1892
Silvestrini1997a	Gilles Silvestrini	Solo Oboe	Études: I. Hôtel des Roches (Monet 1870)		1997
Strauss1888a	Richard Strauss	Violin and Piano	Violin Sonata in E-flat major	Op. 18	1888
Stravinsky1921a	Igor Stravinsky	Solo Piano	Trois mouvements de Pétrouchka		1921
Stravinsky1934a	Igor Stravinsky	Violin and Piano	Divertimento from <i>Le baiser de la fée</i>		1934
Suprana1984a	Jaya Suprana	Solo Piano	Fragmen		1984
Szymanowski1903a	Karol Szymanowski	Solo Piano	Variations in B-flat minor	Op. 3	1903
Takemitsu1982a	Toru Takemitsu	Solo Piano	Rain Tree Sketch		1982
Takemitsu1989a	Toru Takemitsu	Viola and Piano	A String Around Autumn		1989
Takemitsu1992a	Toru Takemitsu	Solo Piano	Rain Tree Sketch II		1992
Tchaikovsky1878a	Pyotr Ilyich Tchaikovsky	Violin and Piano	Souvenir d’un lieu cher	Op. 42	1878
Tchaikovsky1882a	Pyotr Ilyich Tchaikovsky	Piano Trio	Piano Trio in A minor	Op. 50	1882
Tchaikovsky1892a	Pyotr Ilyich Tchaikovsky	String Quartet	The Nutcracker (selections)	Op. 71	1892
Telemann1733a	Georg Philipp Telemann	Solo Oboe	Fantasia in B-flat major	TWV 40:5	1733
Tower2004a	Joan Tower	Piano Trio	For Daniel		2004
Villa-Lobos1940a	Heitor Villa-Lobos	Violin and Cello	Five Preludes for Guitar (arr. Martins)		1940
Wagner1858a	Richard Wagner	Viola and Piano	“Träume” from *Wesendonck Lieder*	WWV 91	1858
Wagner1867a	Richard Wagner	Viola and Piano	Preislied from Der Meistersinger (arr. Seybold)	WWV 96	1867
Walker1945a	George Walker	Solo Piano	Prelude (1945) and Caprice (1941)		1945
Widmann2008a	Jörg Widmann	Violin and Cello	24 Duos for violin and cello (selections)		2008
Wolf1896a	Hugo Wolf	Voice and Piano	Italienisches Liederbuch (Italian Songbook)		1896
Yen2007a	Ming-Hsiu Yen	Solo Piano	Two old postcards from Formosa		2007
Yi2000a	Chen Yi	Solo Piano	Duo Ye		2000
Ysaÿe1923a	Eugène Ysaÿe	Solo Violin	Sonata No. 1 in G minor for solo violin (ded. Joseph Szigeti)	Op. 27:1	1923
Ysaÿe1923b	Eugène Ysaÿe	Solo Violin	Sonata No. 3 In D Minor for solo violin (“Ballade”)	Op. 27:3	1923
Ysaÿe1923c	Eugène Ysaÿe	Solo Violin	Sonata No. 6 in E major for solo violin (ded. Manuel Quiroga)	Op. 27:6	1923
